Ratio O/F   ,  pc psi , Nozzle inl , Nozzle exi , rho kg/m^3,Tc K,M,gamma,k,c* m/s,Is opt s,Is vac s,Cf opt,Cf vac,c factor
2,509,9,4.73,0,2213.7169,23.2124,1.2834,1.1129,1388.4785,207.5706,228.6821,1.466,1.6152,1
2,510,9,4.73,0,2213.9349,23.2132,1.2834,1.113,1388.4527,207.5704,228.6824,1.4661,1.6152,1
2,511,9,4.73,0,2214.1525,23.214,1.2833,1.113,1388.4271,207.5702,228.6826,1.4661,1.6152,1
2,512,9,4.73,0,2214.3697,23.2147,1.2833,1.113,1388.4016,207.5701,228.6829,1.4661,1.6152,1
2,513,9,4.73,0,2214.5866,23.2155,1.2833,1.113,1388.3762,207.5699,228.6832,1.4661,1.6153,1
2,514,9,4.73,0,2214.803,23.2163,1.2833,1.113,1388.351,207.5697,228.6835,1.4662,1.6153,1
2,515,9,4.73,0,2215.0191,23.2171,1.2833,1.113,1388.3259,207.5695,228.6838,1.4662,1.6153,1
2,516,9,4.73,0,2215.2348,23.2179,1.2833,1.113,1388.3009,207.5694,228.684,1.4662,1.6154,1
2,517,9,4.73,0,2215.4501,23.2187,1.2833,1.113,1388.2761,207.5692,228.6843,1.4662,1.6154,1
2,518,9,4.73,0,2215.665,23.2195,1.2833,1.113,1388.2514,207.569,228.6846,1.4663,1.6154,1
2,519,9,4.73,0,2215.8795,23.2203,1.2833,1.113,1388.2269,207.5689,228.6849,1.4663,1.6155,1
2,520,9,4.73,0,2216.0937,23.221,1.2833,1.113,1388.2024,207.5687,228.6852,1.4663,1.6155,1
2,521,9,4.73,0,2216.3075,23.2218,1.2833,1.113,1388.1781,207.5685,228.6855,1.4663,1.6155,1
2,522,9,4.73,0,2216.5209,23.2226,1.2833,1.113,1388.154,207.5684,228.6857,1.4664,1.6156,1
2,523,9,4.73,0,2216.7339,23.2234,1.2832,1.113,1388.1165,207.5679,228.6858,1.4664,1.6156,1
2,524,9,4.73,0,2216.9466,23.2241,1.2832,1.113,1388.0929,207.5677,228.6861,1.4664,1.6156,1
2,525,9,4.73,0,2217.1589,23.2249,1.2832,1.1131,1388.0694,207.5676,228.6864,1.4665,1.6157,1
2,526,9,4.73,0,2217.3708,23.2257,1.2832,1.1131,1388.0461,207.5674,228.6867,1.4665,1.6157,1
2,527,9,4.73,0,2217.5823,23.2265,1.2832,1.1131,1388.0229,207.5672,228.6869,1.4665,1.6157,1
2,528,9,4.73,0,2217.7935,23.2272,1.2832,1.1131,1387.9998,207.5671,228.6872,1.4665,1.6157,1
2,529,9,4.73,0,2218.0043,23.228,1.2832,1.1131,1387.9769,207.5669,228.6875,1.4665,1.6158,1
2,530,9,4.73,0,2218.2148,23.2288,1.2832,1.1131,1387.954,207.5668,228.6878,1.4666,1.6158,1
2,531,9,4.73,0,2218.4248,23.2295,1.2832,1.1131,1387.9313,207.5666,228.6881,1.4666,1.6158,1
2,532,9,4.73,0,2218.6346,23.2303,1.2832,1.1131,1387.9087,207.5664,228.6884,1.4666,1.6159,1
2,533,9,4.73,0,2218.8439,23.2311,1.2832,1.1131,1387.8863,207.5663,228.6886,1.4666,1.6159,1
2,534,9,4.73,0,2219.0529,23.2318,1.2831,1.1131,1387.8639,207.5661,228.6889,1.4667,1.6159,1
2,535,9,4.73,0,2219.2616,23.2326,1.2831,1.1131,1387.8417,207.566,228.6892,1.4667,1.6159,1
2,536,9,4.73,0,2219.4698,23.2334,1.2831,1.1131,1387.8196,207.5658,228.6895,1.4667,1.616,1
2,537,9,4.73,0,2219.6778,23.2341,1.2831,1.1131,1387.7976,207.5656,228.6898,1.4667,1.616,1
2,538,9,4.73,0,2219.8853,23.2349,1.2831,1.1131,1387.7757,207.5655,228.6901,1.4668,1.616,1
